Trade #,Type,Signal,Date/Time,Price USDT,Contracts,Profit USDT,Profit %,Cum. Profit USDT,Cum. Profit %,Run-up USDT,Run-up %,Drawdown USDT,Drawdown %
314,Exit Long,Open,,,,,,,,,,,
314,Entry Long,long,2023-05-28 00:40,1849.07,,,,,,,,,
313,Exit Long,Close entry(s) order long,2023-05-24 03:00,1841.96,479.5919,1074.03,0.12,872594.06,0.12,16515.82,1.88,2269.80,0.26
313,Entry Long,long,2023-05-23 01:20,1836.41,479.5919,1074.03,0.12,872594.06,0.12,16515.82,1.88,2269.80,0.26
312,Exit Long,Close entry(s) order long,2023-05-18 15:00,1815.11,486.094,-2016.31,-0.23,871520.00,-0.23,8626.03,0.98,6083.17,0.69
312,Entry Long,long,2023-05-17 17:40,1815.99,486.094,-2016.31,-0.23,871520.00,-0.23,8626.03,0.98,6083.17,0.69
311,Exit Long,Close entry(s) order long,2023-05-16 00:40,1813.02,487.7674,2274.80,0.26,873536.30,0.26,19498.70,2.21,10572.16,1.2
311,Entry Long,long,2023-05-12 21:20,1805.10,487.7674,2274.80,0.26,873536.30,0.26,19498.70,2.21,10572.16,1.2
310,Exit Long,Close entry(s) order long,2023-05-06 08:00,1940.28,454.6021,2179.79,0.25,871261.56,0.25,38759.92,4.41,4881.88,0.56
310,Entry Long,long,2023-05-05 13:40,1932.00,454.6021,2179.79,0.25,871261.56,0.25,38759.92,4.41,4881.88,0.56
309,Exit Long,Close entry(s) order long,2023-05-04 13:20,1881.47,467.6522,-13992.39,-1.57,869081.75,-1.57,4004.42,0.45,15075.79,1.69
309,Entry Long,long,2023-05-03 22:00,1907.98,467.6522,-13992.39,-1.57,869081.75,-1.57,4004.42,0.45,15075.79,1.69
308,Exit Long,Close entry(s) order long,2023-05-03 12:40,1850.14,483.141,-7914.81,-0.88,883074.10,-0.88,8219.74,0.91,10038.15,1.12
308,Entry Long,long,2023-05-02 15:20,1863.18,483.141,-7914.81,-0.88,883074.10,-0.88,8219.74,0.91,10038.15,1.12
307,Exit Long,Close entry(s) order long,2023-04-26 19:20,1847.63,488.085,-11120.15,-1.22,890988.94,-1.22,46841.34,5.14,15882.46,1.74
307,Entry Long,long,2023-04-25 21:00,1867.07,488.085,-11120.15,-1.22,890988.94,-1.22,46841.34,5.14,15882.46,1.74
306,Exit Long,Close entry(s) order long,2023-04-14 15:20,2062.39,442.6566,69387.30,8.24,902109.06,8.23,99588.06,11.83,4617.73,0.55
306,Entry Long,long,2023-04-12 14:00,1902.07,442.6566,69387.30,8.24,902109.06,8.23,99588.06,11.83,4617.73,0.55
305,Exit Long,Close entry(s) order long,2023-04-11 16:20,1901.17,443.6641,6585.89,0.79,832721.80,0.79,23405.66,2.8,2863.69,0.34
305,Entry Long,long,2023-04-10 16:40,1882.92,443.6641,6585.89,0.79,832721.80,0.79,23405.66,2.8,2863.69,0.34
304,Exit Long,Close entry(s) order long,2023-04-06 08:00,1876.75,445.9246,19662.84,2.41,826135.90,2.41,49949.63,6.12,1264.82,0.16
304,Entry Long,long,2023-04-04 09:40,1829.32,445.9246,19662.84,2.41,826135.90,2.41,49949.63,6.12,1264.82,0.16
303,Exit Long,Close entry(s) order long,2023-04-03 20:00,1790.80,456.3371,-12163.44,-1.47,806473.06,-1.47,11019.27,1.33,16192.11,1.96
303,Entry Long,long,2023-04-03 08:00,1814.21,456.3371,-12163.44,-1.47,806473.06,-1.47,11019.27,1.33,16192.11,1.96
302,Exit Long,Close entry(s) order long,2023-04-02 15:00,1794.47,462.1882,-17660.90,-2.09,818636.50,-2.09,7493.70,0.89,19396.41,2.29
302,Entry Long,long,2023-03-31 13:20,1829.42,462.1882,-17660.90,-2.09,818636.50,-2.09,7493.70,0.89,19396.41,2.29
301,Exit Long,Close entry(s) order long,2023-03-30 03:00,1783.74,474.8784,1569.53,0.19,836297.44,0.19,24152.55,2.86,7991.97,0.95
301,Entry Long,long,2023-03-28 18:40,1777.23,474.8784,1569.53,0.19,836297.44,0.19,24152.55,2.86,7991.97,0.95
300,Exit Long,Close entry(s) order long,2023-03-27 05:40,1750.30,483.0536,-23844.54,-2.75,834727.90,-2.75,0,0,24566.57,2.83
300,Entry Long,long,2023-03-26 13:40,1796.47,483.0536,-23844.54,-2.75,834727.90,-2.75,0,0,24566.57,2.83
299,Exit Long,Close entry(s) order long,2023-03-24 08:40,1794.88,484.3526,-5758.26,-0.66,858572.44,-0.66,25189.64,2.88,8434.12,0.97
299,Entry Long,long,2023-03-23 14:40,1803.53,484.3526,-5758.26,-0.66,858572.44,-0.66,25189.64,2.88,8434.12,0.97
298,Exit Long,Close entry(s) order long,2023-03-22 17:00,1785.29,490.1827,-11495.63,-1.3,864330.70,-1.3,13658.96,1.54,16222.58,1.83
298,Entry Long,long,2023-03-21 12:40,1805.51,490.1827,-11495.63,-1.3,864330.70,-1.3,13658.96,1.54,16222.58,1.83
297,Exit Long,Close entry(s) order long,2023-03-18 16:20,1764.32,502.5302,-15241.84,-1.69,875826.30,-1.69,24090.14,2.68,22911.51,2.54
297,Entry Long,long,2023-03-17 23:00,1791.45,502.5302,-15241.84,-1.69,875826.30,-1.69,24090.14,2.68,22911.51,2.54
296,Exit Long,XL STP,2023-03-14 12:20,1715.69,525.6659,109234.10,13.81,891068.10,13.8,110045.80,13.91,1758.08,0.22
296,Entry Long,long,2023-03-12 17:20,1504.99,525.6659,109234.10,13.81,891068.10,13.8,110045.80,13.91,1758.08,0.22
295,Exit Long,Close entry(s) order long,2023-03-08 05:20,1553.12,510.2936,-9103.20,-1.14,781834.06,-1.14,678.01,0.08,8798.14,1.1
295,Entry Long,long,2023-03-08 00:00,1568.15,510.2936,-9103.20,-1.14,781834.06,-1.14,678.01,0.08,8798.14,1.1
294,Exit Long,Close entry(s) order long,2023-03-01 19:40,1634.79,490.3741,-13320.72,-1.64,790937.25,-1.64,4529.54,0.56,14443.03,1.78
294,Entry Long,long,2023-03-01 04:40,1658.99,490.3741,-13320.72,-1.64,790937.25,-1.64,4529.54,0.56,14443.03,1.78
293,Exit Long,Close entry(s) order long,2023-02-27 18:00,1623.87,501.8821,-4546.29,-0.56,804257.94,-0.56,16940.03,2.07,4666.00,0.57
293,Entry Long,long,2023-02-26 18:40,1630.00,501.8821,-4546.29,-0.56,804257.94,-0.56,16940.03,2.07,4666.00,0.57
292,Exit Long,Close entry(s) order long,2023-02-23 11:20,1634.17,501.5034,-16388.25,-1.96,808804.25,-1.96,6831.73,0.82,17185.26,2.06
292,Entry Long,long,2023-02-23 02:20,1663.88,501.5034,-16388.25,-1.96,808804.25,-1.96,6831.73,0.82,17185.26,2.06
291,Exit Long,Close entry(s) order long,2023-02-16 22:20,1645.25,508.0959,44514.28,5.63,825192.50,5.63,94917.76,12.02,11858.60,1.5
291,Entry Long,long,2023-02-14 14:40,1554.76,508.0959,44514.28,5.63,825192.50,5.63,94917.76,12.02,11858.60,1.5
290,Exit Long,Close entry(s) order long,2023-02-08 15:20,1658.50,477.1724,-7747.95,-0.97,780678.20,-0.97,11769.66,1.48,22672.64,2.84
290,Entry Long,long,2023-02-07 17:40,1671.74,477.1724,-7747.95,-0.97,780678.20,-0.97,11769.66,1.48,22672.64,2.84
289,Exit Long,Close entry(s) order long,2023-02-02 21:40,1637.19,488.1201,8191.04,1.04,788426.20,1.04,46734.70,5.92,2589.83,0.33
289,Entry Long,long,2023-02-01 19:40,1617.48,488.1201,8191.04,1.04,788426.20,1.04,46734.70,5.92,2589.83,0.33
288,Exit Long,Close entry(s) order long,2023-01-30 09:00,1600.80,494.0948,-8238.46,-1.03,780235.10,-1.03,21723.81,2.72,16593.25,2.08
288,Entry Long,long,2023-01-29 01:00,1614.58,494.0948,-8238.46,-1.03,780235.10,-1.03,21723.81,2.72,16593.25,2.08
287,Exit Long,Close entry(s) order long,2023-01-26 15:40,1589.79,502.7034,-10077.73,-1.25,788473.56,-1.25,16384.98,2.03,16793.44,2.08
287,Entry Long,long,2023-01-25 21:20,1606.96,502.7034,-10077.73,-1.25,788473.56,-1.25,16384.98,2.03,16793.44,2.08
286,Exit Long,Close entry(s) order long,2023-01-21 22:40,1628.96,496.8075,34062.20,4.4,798551.30,4.4,59779.97,7.73,8401.90,1.09
286,Entry Long,long,2023-01-19 20:00,1557.53,496.8075,34062.20,4.4,798551.30,4.4,59779.97,7.73,8401.90,1.09
285,Exit Long,XL STP,2023-01-14 00:40,1579.82,490.6804,93892.16,13.81,764489.10,13.8,94589.83,13.91,12329.44,1.81
285,Entry Long,long,2023-01-11 23:20,1385.80,490.6804,93892.16,13.81,764489.10,13.8,94589.83,13.91,12329.44,1.81
284,Exit Long,Close entry(s) order long,2023-01-11 15:20,1323.91,514.544,48590.46,7.7,670596.94,7.69,61439.40,9.73,2621.32,0.42
284,Entry Long,long,2023-01-04 01:00,1227.18,514.544,48590.46,7.7,670596.94,7.69,61439.40,9.73,2621.32,0.42
283,Exit Long,Close entry(s) order long,2023-01-03 14:40,1210.33,522.6473,-3105.56,-0.49,622006.50,-0.49,4759.92,0.75,4799.30,0.76
283,Entry Long,long,2023-01-02 07:00,1214.09,522.6473,-3105.56,-0.49,622006.50,-0.49,4759.92,0.75,4799.30,0.76
