Opening Time,Type [buy/sell],Symbol,Setup,Size / Quantity,Closing Time,Entry Price,Closing Price,Swap,Commission,Net Profit,Stop Loss (optional),Take Profit(optional),Highest price (optional),Lowest price (optional)
2018-01-28 09:00:00,BUY,BTCUSD,chop150,8.15,2018-01-30 15:00:00,1225.93000000,1121.54000000,,13.39182300,-867.97000000,1209.72171900,1323.11467200,1275.94794400,1099.90439600
2018-04-09 06:00:00,BUY,BTCUSD,chop150,21.91,2018-04-09 19:30:00,416.44000000,391.00000000,,12.38314200,-573.29000000,410.93415800,449.45296600,431.59841600,386.70618400
2018-04-12 10:30:00,BUY,BTCUSD,chop150,18.58,2018-04-24 10:30:00,460.32000000,690.48000000,,14.96432400,4256.28000000,454.23401200,496.81151900,690.06571200,450.74534400
2018-05-03 16:30:00,BUY,BTCUSD,chop150,16.61,2018-05-06 10:30:00,771.03000000,774.07000000,,17.96022700,27.39000000,760.83604900,832.15281900,839.26615500,752.29397100
2018-07-16 10:30:00,BUY,BTCUSD,chop150,27.09,2018-07-18 19:30:00,473.58000000,473.69000000,,17.96526900,-20.12000000,467.31869800,511.12269600,515.06560800,464.86612800
2018-09-01 13:30:00,BUY,BTCUSD,chop150,43.57,2018-09-03 09:00:00,294.05000000,287.12000000,,17.72372100,-324.70000000,290.16230300,317.36059100,301.72470500,285.72838500
2018-10-15 04:30:00,BUY,BTCUSD,chop150,56.69,2018-10-18 16:30:00,220.27000000,206.05000000,,16.91664200,-827.83000000,217.35776400,237.73173700,238.79470700,204.85110000
2018-11-04 15:00:00,BUY,BTCUSD,chop150,56.55,2018-11-08 22:30:00,206.18000000,212.79000000,,16.58460500,352.47000000,203.45405000,222.52476300,224.61249200,205.08724600
2018-12-17 15:00:00,BUY,BTCUSD,chop150,130.62,2018-12-24 00:00:00,91.96000000,137.94000000,,21.01996900,5978.68000000,90.74417700,99.25005900,137.85723600,90.77371600
2019-02-08 09:00:00,BUY,BTCUSD,chop150,166.17,2019-02-24 01:30:00,108.23000000,162.35000000,,31.47384100,8952.73000000,106.79906800,116.80985100,162.24759300,107.94860200
2019-03-15 15:00:00,BUY,BTCUSD,chop150,196.71,2019-03-18 04:30:00,136.90000000,136.83000000,,37.69151200,-62.23000000,135.09001600,147.75264400,144.34736000,135.24351000
2019-03-27 10:30:00,BUY,BTCUSD,chop150,193.93,2019-04-04 16:30:00,138.54000000,153.73000000,,39.67617000,2894.80000000,136.70833300,149.52265400,177.69140400,137.16845400
2019-05-03 12:00:00,BUY,BTCUSD,chop150,176.16,2019-05-04 12:00:00,168.93000000,162.06000000,,40.81601200,-1262.73000000,166.69654100,182.32179800,171.14298300,160.63553700
2019-05-06 15:00:00,BUY,BTCUSD,chop150,160.54,2019-05-08 00:00:00,177.51000000,169.00000000,,38.94061000,-1416.28000000,175.16310300,191.58197100,182.60453700,164.64052500
2019-05-11 07:30:00,BUY,BTCUSD,chop150,146.48,2019-05-16 15:00:00,184.89000000,277.34000000,,47.39544200,13481.20000000,182.44553000,199.54701500,277.16859900,180.84090900
2019-05-27 00:00:00,BUY,BTCUSD,chop150,152.00,2019-05-29 04:30:00,266.79000000,261.80000000,,56.24171700,-830.79000000,263.26271300,287.93957500,279.35580900,259.74674400
2019-06-12 15:00:00,BUY,BTCUSD,chop150,154.06,2019-06-18 21:00:00,257.83000000,262.90000000,,56.15736700,708.89000000,254.42117500,278.26927800,276.83207100,251.51316500
2019-06-21 04:30:00,BUY,BTCUSD,chop150,141.17,2019-06-27 07:30:00,286.40000000,316.22000000,,59.54887200,4133.03000000,282.61344500,309.10414300,366.53472000,282.01808000
2019-09-07 18:00:00,BUY,BTCUSD,chop150,248.60,2019-09-10 19:30:00,179.24000000,178.33000000,,62.22483200,-306.23000000,176.87023000,193.44911500,185.22661600,175.85236400
2019-09-16 19:30:00,BUY,BTCUSD,chop150,222.39,2019-09-22 00:00:00,198.99000000,210.70000000,,63.77778600,2522.19000000,196.35911100,214.76478200,223.76425500,195.56737200
2019-10-07 16:30:00,BUY,BTCUSD,chop150,257.89,2019-10-11 07:30:00,181.37000000,185.93000000,,66.30591800,1090.72000000,178.97206900,195.74796900,196.47812100,176.83575000
2019-10-25 15:00:00,BUY,BTCUSD,chop150,269.05,2019-10-30 15:00:00,177.90000000,181.05000000,,67.60164200,760.58000000,175.54794600,192.00288800,197.57574000,173.64819000
2019-11-05 13:30:00,BUY,BTCUSD,chop150,256.48,2019-11-07 09:00:00,189.58000000,186.22000000,,67.46899700,-948.51000000,187.07352300,204.60881100,194.92615600,184.95424800
2019-12-29 15:00:00,BUY,BTCUSD,chop150,359.00,2019-12-31 15:00:00,132.80000000,130.16000000,,66.08208700,-1032.73000000,131.04422300,143.32761900,137.95264000,128.77616000
2020-01-06 07:30:00,BUY,BTCUSD,chop150,331.63,2020-01-08 15:00:00,140.65000000,140.12000000,,65.17797300,-259.56000000,138.79043700,151.79992200,147.64030500,138.63870500
2020-01-14 10:30:00,BUY,BTCUSD,chop150,306.05,2020-01-19 10:30:00,151.56000000,166.62000000,,68.16426800,4521.40000000,149.55619300,163.57480400,179.35610400,150.62032800
2020-03-06 22:30:00,BUY,BTCUSD,chop150,207.86,2020-03-08 00:00:00,244.88000000,233.64000000,,69.62672200,-2425.90000000,241.64239000,264.29267600,251.71215200,231.58301600
2020-04-02 15:00:00,BUY,BTCUSD,chop150,344.23,2020-04-10 03:00:00,140.83000000,162.45000000,,73.07856700,7348.29000000,138.96805700,151.99419200,176.09383200,137.14025400
2020-04-16 07:30:00,BUY,BTCUSD,chop150,327.56,2020-04-20 10:30:00,170.41000000,175.78000000,,79.37864600,1656.94000000,168.15697300,183.91912400,189.39367400,166.35424200
2020-05-28 15:00:00,BUY,BTCUSD,chop150,267.46,2020-06-02 13:30:00,214.89000000,234.33000000,,84.10459000,5091.33000000,212.04889400,231.92524200,253.61317800,213.19236900
2020-06-22 12:00:00,BUY,BTCUSD,chop150,262.10,2020-06-24 10:30:00,238.69000000,238.06000000,,87.47085800,-277.59000000,235.53422900,257.61196900,249.02527700,236.58952800
2020-07-06 06:00:00,BUY,BTCUSD,chop150,267.75,2020-07-09 15:00:00,232.62000000,240.64000000,,88.70131900,2033.32000000,229.54448200,251.06077400,248.67078000,231.87561600
2020-07-21 07:30:00,BUY,BTCUSD,chop150,266.35,2020-08-01 15:00:00,241.47000000,362.21000000,,112.55375100,32014.57000000,238.27747400,260.61235100,361.98767700,241.25267700
2020-08-13 19:30:00,BUY,BTCUSD,chop150,234.95,2020-08-16 10:30:00,409.88000000,417.86000000,,136.13478100,1699.88000000,404.46089000,442.37292600,444.35090800,409.42913200
2020-08-30 15:00:00,BUY,BTCUSD,chop150,234.47,2020-09-02 10:30:00,417.97000000,441.88000000,,141.12427400,5424.65000000,412.44393000,451.10425500,488.48153900,417.30124800
2020-10-09 10:30:00,BUY,BTCUSD,chop150,288.06,2020-10-12 10:30:00,359.02000000,366.34000000,,146.26375200,1920.56000000,354.27332000,387.48103900,378.08396200,357.87113600
2020-10-21 13:30:00,BUY,BTCUSD,chop150,271.07,2020-10-26 15:00:00,388.60000000,393.33000000,,148.37158500,1091.41000000,383.46223700,419.40597100,420.38748000,385.68550000
2020-11-04 15:00:00,BUY,BTCUSD,chop150,267.81,2020-11-07 18:00:00,397.40000000,429.35000000,,154.99031000,8357.37000000,392.14589000,428.90358400,467.93850000,395.01560000
2020-11-17 15:00:00,BUY,BTCUSD,chop150,240.63,2020-11-19 09:00:00,477.00000000,467.36000000,,159.06669500,-2524.15000000,470.69348200,514.81381400,494.88750000,456.15510000
2020-11-20 07:30:00,BUY,BTCUSD,chop150,223.88,2020-11-25 21:00:00,501.41000000,571.86000000,,168.20061000,15556.28000000,494.78075200,541.15889800,622.55065600,491.78292800
2020-12-13 15:00:00,BUY,BTCUSD,chop150,215.19,2020-12-20 21:00:00,593.89000000,633.88000000,,184.94285000,8367.67000000,586.03805400,640.97018000,675.72804200,575.06368700
2020-12-27 13:30:00,BUY,BTCUSD,chop150,198.73,2021-01-04 03:00:00,685.15000000,1027.73000000,,238.27973000,67774.36000000,676.09148700,739.46474700,1027.10836500,659.45687500
2021-02-02 07:30:00,BUY,BTCUSD,chop150,140.48,2021-02-07 03:00:00,1451.29000000,1621.01000000,,302.11124100,23453.33000000,1432.10218700,1566.33991500,1759.25373800,1406.73539700
2021-02-18 00:00:00,BUY,BTCUSD,chop150,119.85,2021-02-20 22:30:00,1896.60000000,1913.00000000,,319.60292500,1554.60000000,1871.52464900,2046.95152800,2040.55194000,1801.39068000
2021-03-29 16:30:00,BUY,BTCUSD,chop150,124.76,2021-04-07 10:30:00,1834.45000000,1977.89000000,,332.92806900,17466.92000000,1810.19634700,1979.87463400,2149.42506500,1766.57535000
2021-04-10 03:00:00,BUY,BTCUSD,chop150,113.22,2021-04-17 15:00:00,2175.47000000,2354.85000000,,359.04978700,19847.98000000,2146.70765000,2347.92873600,2546.38763500,2081.48969600
2021-08-20 00:00:00,BUY,BTCUSD,chop150,82.58,2021-08-22 13:30:00,3222.84000000,3166.53000000,,369.34034400,-5124.90000000,3180.23014900,3478.32819900,3306.31155600,3159.99462000
2021-08-30 18:00:00,BUY,BTCUSD,chop150,78.79,2021-09-07 07:30:00,3312.99000000,3755.73000000,,389.84429100,34380.75000000,3269.18825600,3575.62477200,4024.95155100,3185.77118400
2021-10-01 09:00:00,BUY,BTCUSD,chop150,93.55,2021-10-10 19:30:00,3157.22000000,3513.88000000,,436.87332800,32805.10000000,3115.47772500,3407.50622400,3692.05306800,3147.11689600
2021-10-14 01:30:00,BUY,BTCUSD,chop150,90.26,2021-10-17 19:30:00,3635.44000000,3698.43000000,,463.38243500,5089.87000000,3587.37507700,3923.63675200,3967.71921600,3609.62837600
2021-10-29 00:00:00,BUY,BTCUSD,chop150,75.83,2021-10-31 09:00:00,4394.54000000,4257.98000000,,459.27351200,-10945.59000000,4336.43885400,4742.91382900,4456.50301400,4217.87949200
2021-11-25 12:00:00,BUY,BTCUSD,chop150,72.17,2021-11-26 07:30:00,4465.47000000,4099.94000000,,432.74412800,-26938.40000000,4406.43107400,4819.46675100,4547.18810100,3997.04219700
2021-11-30 10:30:00,BUY,BTCUSD,chop150,64.35,2021-12-02 12:00:00,4590.47000000,4481.82000000,,408.63780600,-7516.62000000,4529.77842200,4954.37603200,4774.54784700,4446.78828900
2022-02-15 09:00:00,BUY,BTCUSD,chop150,92.87,2022-02-17 12:00:00,3099.57000000,3018.42000000,,397.74239900,-8048.12000000,3058.58992800,3345.28606400,3193.48697100,3009.99242700
2022-03-16 01:30:00,BUY,BTCUSD,chop150,103.98,2022-03-20 16:30:00,2691.14000000,2826.57000000,,401.61860600,13565.88000000,2655.55986700,2904.47808500,2985.28160200,2603.40883600
2022-05-04 18:00:00,BUY,BTCUSD,chop150,99.48,2022-05-05 13:30:00,2949.05000000,2830.42000000,,402.47495100,-12319.24000000,2910.05998400,3182.83370500,2959.37167500,2807.20069500
2022-05-30 21:00:00,BUY,BTCUSD,chop150,141.17,2022-06-01 15:00:00,1991.09000000,1853.45000000,,379.90364100,-19918.58000000,1964.76537700,2148.93215100,2014.58486200,1849.52350100
2022-07-14 16:30:00,BUY,BTCUSD,chop150,218.41,2022-07-25 01:30:00,1195.78000000,1520.03000000,,415.21831700,70286.66000000,1179.97033900,1290.57455400,1663.21040200,1179.51739200
2022-07-27 18:00:00,BUY,BTCUSD,chop150,207.31,2022-08-01 12:00:00,1598.59000000,1649.39000000,,471.32847400,9925.16000000,1577.45470300,1725.31701100,1783.38700400,1581.64494600
2022-08-08 10:30:00,BUY,BTCUSD,chop150,190.75,2022-08-09 09:00:00,1789.37000000,1726.75000000,,469.47835500,-12548.09000000,1765.71236000,1931.22095100,1816.38948700,1721.73181400
2022-08-10 12:00:00,BUY,BTCUSD,chop150,178.67,2022-08-14 16:30:00,1840.12000000,1922.42000000,,470.58106600,14099.63000000,1815.79138300,1985.99411900,2028.36427600,1802.39754000
2022-09-07 21:00:00,BUY,BTCUSD,chop150,208.25,2022-09-12 21:00:00,1646.41000000,1707.00000000,,488.84216900,11989.33000000,1624.64246400,1776.92790500,1787.50733700,1593.56023900
2022-10-23 21:00:00,BUY,BTCUSD,chop150,260.67,2022-10-31 13:30:00,1361.25000000,1557.21000000,,532.53685400,50397.01000000,1343.25262500,1469.16206300,1661.81400000,1322.99887500
2022-11-04 12:00:00,BUY,BTCUSD,chop150,249.74,2022-11-06 21:00:00,1622.46000000,1601.00000000,,563.52041000,-6083.96000000,1601.00911200,1751.07928700,1678.59711600,1589.19957000
2022-12-08 18:00:00,BUY,BTCUSD,chop150,311.41,2022-12-12 00:00:00,1281.66000000,1254.44000000,,552.82866400,-9187.23000000,1264.71490100,1383.26262600,1295.50192800,1248.84950400
2022-12-13 12:00:00,BUY,BTCUSD,chop150,299.40,2022-12-15 01:30:00,1302.39000000,1291.42000000,,543.61251500,-3983.36000000,1285.17082600,1405.63598100,1351.49010300,1279.98889200
2018-04-12 08:00:00,BUY,BTCUSD,chopdev exp 3,21.70,2018-04-24 04:00:00,460.32000000,676.68000000,,17.27453200,4673.75000000,451.08350200,511.07736200,676.25611200,450.74534400
2018-07-16 08:00:00,BUY,BTCUSD,chopdev exp 3,30.96,2018-07-19 12:00:00,473.58000000,468.43000000,,20.41313100,-185.67000000,464.07743500,525.79948100,515.06560800,464.86612800
2018-10-15 08:00:00,BUY,BTCUSD,chopdev exp 3,65.28,2018-10-18 12:00:00,221.75000000,209.68000000,,19.71353800,-813.23000000,217.30050100,246.20134900,223.63487500,207.02580000
